name,Job Role,CTC,Stipend,Eligible Batch,Eligible Courses,Eligible Branches,Internship Duration,Location,Application Link
Restroworks,,* 8-10 LPA ( CTC is negotiable post-interview and may exceed the quoted range),"* 26KPM (During 3 months Training), 27KPM (During 3 months Probation)",* 2026,* BTech,* All,,* Delhi,"* https://forms.gle/oh3kEHDq3vW4yMwq7 | Deadline:* 3:00 PM, 9 October 2025. (Today) | All with software as their first preference must apply for this. | Keep in mind the short deadline."
Leap,,,,,,,,,
Restroworks,,,,,,,,,
Tata Consultancy Services,,,,* 2026,"* B.Tech, M.Tech, Dual Degree, Int MSc, MSc","* All | Mode:* Offline | Venue:* TIIR Auditorium | Registration Form:* https://forms.gle/ctArHQ1gapahnd1B9 | Deadline:* 6PM, 10th October 2025 | Note:*",,,
PharmaACE,,* 8.6 LPA,,* 2026,"* B. Tech, M. Tech, Dual, Int MSc, MSc","B. Tech: CS, EE, ECE, EI, ME, MM, CH, BM, BT | M. Tech: CS, EE, ECE, ME, MM, CH, BM, BT | Dual: MM, CH | Int. MSc, MSc: LS | Selection Process:* | 1. Pre-Placement Talk | 2. Resume Shortlist | 3. Online Test | 4. Personal Interview | Job Location:* Pune/Hyderabad | Registration Form:* | https://forms.gle/rhsaFmEa8564doC56 | Deadline:* 11:59 PM, 10th October 2025 | Note:*",,,
Dassault Systèmes,,,,,,,,,
Dassault Systèmes,,,,,,,,,
Dassault Systèmes,,,,,,,,,
Reliance,,,,,,,,,
TCS,,,,,,,,,
TCS,,,,,,,,,
L&T,,,,,,,,,
Quantiphi,,,,,,,,,
Quantiphi,,,,,,,,,
L&T Finance,,,,,,,,,
L&T,,,,,,,,,
TCS,,,,,,,,,
Bluno,,,,,,,,,
Quantiphi,,,,,,,,"* PPT Room, CDC | Note:* | ⁠_Attendance is mandatory for all the registered candidates._",
Quantiphi,,,,,,,,,
Quantiphi,,,,,,,,* LA LABS | Note:*,
OT Test Update,,,,,,,,,
Quantiphi,,,,,,,,,
Bluno,,,,,,,,,
Confluent,,,,,,,,,
Reliance Industries Limited,,* 7.5 LPA (Fixed Pay),,* 2026,* B.Tech,"* CH, ME, CE, EE, EI, MM | Eligibility Criteria:* | 1. A minimum score of 60% in both 10th and 12th standards, and a CGPA of 6.0 or above in graduation. | 2. The candidate must:  i. Have no active backlogs.  ii. Complete their engineering degree within 4 years, without any detention. | Registration Link:* https://unstop.com/jobs/ril-graduate-engineer-trainee-get-program-2026-reliance-industries-limited-ril-1560004?lb=3u2T1ie&utm_medium=Share&utm_source=ashish_1143&utm_campaign=Jobs",,,"* https://forms.gle/SkBw9MvUxxEy1Egh8 | Deadline:* 15 Oct 2025, 11:59 PM | Note:* | Keep in mind the short deadline as there would be no further extensions. | Filling both the forms is mandatory. | It is recommended to use an email ID for Unstop that is different from the one used for RIL’s on-campus visit."
L&T Finance,,,,,,,,,
RAAM GROUP,Next Gen Leader | ⁠Management Trainee,,* 20 KPM | CTC on PPO conversion:* | Next Gen Leader - 30 LPA | ⁠Management Trainee - 10 LPA,* 2026,"* BTech, Dual",* All | Selection Procedure:* | Pre-Placement Talk | Resume Shortlisting | Group Discussion | ⁠Personal Interviews | Job Location:* PAN India,,,"* https://forms.gle/v6XvkLJMuWB4hYAr5 | Deadline:* 11:59 PM, 14th October, 2025 | Note:* | ⁠_Curate your CVs according to the Job Role & Job Description._"
Reliance Industries Limited,,,,,,,,,
Pkeday Investments,,,,,,,,,
Quantiphi,,,,,,,,,
Leap,,,,,,,,,
Pfizer,* Data Science & AI Intern,* ND,* ND,* 2026,"* M.Tech, Int. MSc, Dual Degree",* All,* January to June 2026,* Mumbai,"* https://forms.gle/SkD5ZARSfng5w3vi8 | Deadline:* 2PM, 15th October 2025 | ⁠Keep the short deadline in mind. | The information regarding Stipend and CTC will be communicated later. | Curate the CVs according to the Job Role."
TCS NQT,"* Prime, Digital, Ninja (Performance Based)","Prime: UG-9.09LPA, PG-11.59LPA | Digital: UG-7.09LPA, PG-7.39LPA | Ninja: UG-3.46LPA, PG-3.62LPA",,* 2026,"* B. Tech, M. Tech, Int MSc,  Dual, Msc","* ALL | Registration Guidelines:* | You need to register on the TCS NextStep Portal at this link below. Please select IT as your applicant role and *use only your personal email-id to register on the portal. DON'T use institute mail-id.Steps For Registration:* | Link:* https://nextstep.tcsapps.com/indiacampus/#/ | Steps:* | 1. Students to visit http://nextstep.tcs.com/campusClick on “Register Now”. | 2. Choose the category as “ *IT* ” | 3. Fill up the details to get a *Reference ID.* | 4. Proceed to complete the Application Form. | 5. Click on ‘ *Apply for Drive* ’ | While registering, make sure that you upload your highest degree of qualification, i.e. For Ex- Int. Msc will fill Msc, B. Tech will fill B. Tech and M. Tech will fill M. Tech. | Be professional while filling the form. You must upload a professional photograph and not any casual one while applying on the portal. | Once you have filled, you'll be getting a reference ID after successful registration. Please retain that. | If you have already registered earlier on the portal, please login, complete your application details and use the same reference ID and email to fill the google form. | Only after completion of your entire application by providing all details, use your reference ID to fill the following form:",,,"* https://forms.gle/DjgKbGW6uX85iG3k7 | Deadline:*  14th October, 11:59 PM *(Today)* | Note:* | Keep short deadline in mind. | Must fill both the Registration and Application form."
Indian Metal & Ferro Alloys ( Commonly known as IMFA ),,* 7 LPA,,* 2026,* Btech,"* EE, ME , MN, MM | Eligibility:* | 1.CGPA > 6 | 2.No Active backlogs | 3.10th & 12th > 60%",,,"* https://forms.gle/hEpEX2mNbwBfj4zP8 | Deadline:* 11:59PM , 15th Oct"
TCS NQT,,,,,,,,,
Bluno,,,,,,,,,
ICICI Bank,,,,* 2026,"* BTech, Dual, Int Msc","* All | Date:* 17th Oct, 2025 | Mode:* Online | Note:* | ⁠_Exact time of the PPT session will be informed shortly._",,,
L&T Finance,,,,,,,,,
Bounteous x Accolite,* Software Engineer,,* 25 KPM | CTC on Conversion:* 11 LPA,* 2026,"* B.Tech, Dual, Int M.Sc,  M.Tech",* All | Eligibility:* | Students from M.Tech are eligible only if they have successfully completed at least one programming course. | CGPA >= 6 | ⁠10th and 12th >= 60% | ⁠No active backlogs | Registration Link:* https://talenttitan.com/candidates/hiring-drives/bounteous-campus-hiring/,,,"* https://forms.gle/GjUx4ZCHsJ8gJkFH7 | Deadline:* 11:59 pm 17th October, 2026 | Note:*"
Calderys,,,,,,,,,
TCS NQT,,,,,,,,,* https://forms.gle/DjgKbGW6uX85iG3k7 | NOTE:* | Some additional questions have been added in the Google Form filling that is mandatory.
IMFA,,,,,,,,,
IMFA,,,,,,,,,
Carborundum Universal Ltd (CUMI Group),,* 6 - 6.5LPA,,* 2026 | Hiring Process:* | Pre-Placement Talk | Shortlisting | Online Assesment | Personal Interview | Eligibility Criteria:* | 1. CG >=6.0 | 2. 10th and 12th >=60 | 3. No Backlog history,"* M.Tech,Dual","* ME,MM,CR,MN,ID,CH,EE,EC,EI",,,"* https://forms.gle/bgtqjdcGNiTEJULr5 | Deadline:* 11:59 PM, 19th October 2025 | Bond Period:* 2 years | Note:*"
Jubilant Pharmova,,,,,,,,,
Impact Analytics,* AI Analyst,,* 15 KPM | CTC on Conversion:* 13 LPA (10.5 L Fixed),* 2026,"* B.Tech, Dual","* CS, EC, EE, EI, ME, MM, CE, CH, CR, MN, BM, BT | Eligibility:* CGPA >= 7",,,"* https://forms.gle/GrPuBK2NWrsJHfAaA | Deadline:* 11:59 pm, 17th October, 2025 | Note:* | ⁠_Refer to the Job Description below._ <This message was edited>"
Zanskar Tech Pvt. Ltd.,,,,,,,,,
L&T Finance,,,,,,,,,
Leap,,,,,,,,,
Dassault Systèmes,,,,,,,,,
Dassault Systèmes,,,,,,,,,
ICICI Bank,,,,,,,,,
ICICI Bank,,,,,,,,,
ICICI Bank,,,,,,,,,
ElectricPe,,,,,,,,,
Nasdaq,,,,,,,,,
Dassault Systèmes,,,,,,,,,
Impact Analytics,,,,,,,,,
Impact Analytics,,,,,,,,,
ElectricPe,,,,,,,,,
TCS,,,,,,,,,
JSL,,,,,,,,,
Union Bank of Switzerland(UBS) - Revisit,,* ND,* 60 KPM,* 2026,"* BTech, MTech, Dual",* All | Eligibility Criteria:* CGPA >= 7 | Selection Process:* | 1. Culture Aptitude Test and Cognitive Ability Test | 2. Online Test | 3. Personal Interviews,,,"* https://forms.gle/kDBAhyJSHUiAmYF57 | Deadline :* 21st October, 2025, 11:59 PM | Note : | Refer to the Job Description attached for more details."
Tata Consulting Engineers (TCE),,"B.Tech, B.Arch - 4.5 LPA | M.Tech, Dual - 5 LPA | Category:* C2",,,"* B.Tech, B.Arch, Dual, M.Tech","B.Tech - CE, CH, EE, ME, MM | B.Arch - AR | Dual - CH, MM | M.Tech - CE, CH, MM, EE(All except Control & Automation), EC( Electronics & Instrumentation), ME(Mechanical Systems Design & Control, Thermal Engineering) | Eligibility Criteria:* | >= 60% throughout Academics | No Active backlogs | Bond:* 36 months (Duration), 50K (Bond amount) | Registration Link:* | 1) B.Tech, B.Arch - | https://shorturl.at/uhhZW | 2) M.Tech, Dual - | https://shorturl.at/ilZGY",,,"https://forms.gle/QoJ43A9xhnyJNUFy7 | Deadline:* 11:59 PM, 23rd October 2025 | Note:*"
Pibit AI,,,,,,,,,
TCS NQT,,,,,,,,,
TCE,,,,,,,,,
TCS NQT,,,,,,,,,
OLA Electric,,,,,,,,,
Pibit AI,,,,,,,,,
Slice,* Analytical Intern,,* 30 KPM | CTC on conversion:* 12 LPA,* 2026,"* BTech,  Dual",* All | Registration Link:* https://tinyurl.com/NxtWaveEdge-NITRourkela,,,"* https://forms.gle/3SE9AxTsL7cUM6rE9 | Deadline:* 11:59 PM, 25th October, 2025 | Note:* | ⁠_It is mandatory to fill both the forms._"
TATA Steel,* Management Trainee (R&T),* 13.23 LPA,,"* 2026 | Eligible Courses & Branches:* | MM: M.Tech, Dual, PhD. | CE: M.Tech | Eligibility Criteria:* | CGPA>6.5 | CGPA>6 for SC/ST. | The colour vision should be normal as determined by Ishihara’s Test Chart. | Acuity of vision without/with glasses should be 6/9 in each eye for age (20-45 years). | The power of corrective glasses should not exceed +- 6.0 D (Spherical/Cylindrical combined) for technical roles. | The Candidate should have binocular vision. | The Candidate should not be suffering from night blindness like Retinitis Pigmentosa. | Any abnormality for eye beyond above criteria, will be referred to Eye Specialist.",,,,,"https://forms.gle/KxFSCCV8Ecy4Hq7k8 | Deadline:* 11:59 PM, 25th October, 2025 | Note:* | Mention NA in the fields that are not applicable for you. | Keep the short deadline in your mind."
JSL,,,,,,,,,
TCE,,,,,,,,,
ICICI Bank,,* 12 LPA,,* 2026,"* B Tech, Dual, Int MSc","* All | Procedure:* | 1. Resume Shortlisting | 2. Online Test | 3. Personal Interview | Registration Form:* https://forms.gle/wZiRZjaYjXesuCnRA | Deadline:* *11:00 AM*, 26 October 2025 | Keep in mind the short deadline as there would be no further extensions.",,,
Slice,,,,,,,,,
